Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max;Pres_calc;Pbhp_calc;Pinj_calc;Geom_factor;Prod_Index;Inj_index;Frac_inj;Qliq_calc;Qinj_calc
Oilfield;W6;Carbonate;01.02.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;132.6574138448946;132.6574138448946;132.6574138448946;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.03.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;128.8630199731346;128.8630199731346;128.8630199731346;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.04.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;125.80529841579765;125.80529841579765;125.80529841579765;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.05.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;124.45461356462745;124.45461356462745;124.45461356462745;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.06.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;123.29188848314395;123.29188848314395;123.29188848314395;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.07.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;122.37682195341947;122.37682195341947;122.37682195341947;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.08.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;121.80419948187948;121.80419948187948;121.80419948187948;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.09.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;121.4226873372197;121.4226873372197;121.4226873372197;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.10.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;119.84669744255406;119.84669744255406;119.84669744255406;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.11.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;118.591633076523;118.591633076523;118.591633076523;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
Oilfield;W6;Carbonate;01.12.2018;0.0;0.0;0.0;0.0;;;;;;;0.447252385;1.0;;;;;;117.70641384420281;117.70641384420281;117.70641384420281;0.44611105806815143;0.44611105806815143;3.0;1.0;0.0;0.0
